Title,Artist,FileName
Un Amico Come Me,Aladdin,un_amico_come_me.mp3
Ehi-Ho!,Biancaneve e i 7 Nani,ehi_ho.mp3
I Sogni Son Desideri,Cenerentola,i_sogni_son_desideri.mp3
Romeo's Swing,Gli Aristogatti,romeo_s_swing.mp3
"Alleluja, tutti jazzisti!",Gli Aristogatti,alleluja_tutti_jazzisti.mp3
L'Ultima Speranza,Hecules,l_ultima_speranza.mp3
Ieri Era Zero,Hercules,ieri_era_zero.mp3
Il Cerchio della Vita,Il Re Leone,il_cerchio_della_vita.mp3
Hakuna Matata,Il Re Leone,hakuna_matata.mp3
Stia Con Noi,La Bella e la Bestia,stia_con_noi.mp3
La Bella e la Bestia,La Bella e la Bestia,la_bella_e_la_bestia.mp3
Parte del Tuo Mondo,La Sirenetta,parte_del_tuo_mondo.mp3
Vola e Va'!,Peter Pan,vola_e_va_.mp3
Higitus Figitus,La Spada nella Roccia,higitus_figitus.mp3
Riflesso,Mulan,riflesso.mp3
Farò di Te un Uomo,Mulan,faro_di_te_un_uomo.mp3
Dopo Il Fiume Cosa C'è,Pocahontas,dopo_il_fiume_cosa_c_e.mp3
I Colori Del Vento,Pocahontas,i_colori_del_vento.mp3
Sei Dentro Me,Tarzan,sei_dentro_me.mp3
In Tuo Figlio,Tarzan,in_tuo_figlio.mp3
Il mio Nuovo Sogno,Rapunzel,il_mio_nuovo_sogno.mp3
Il Mondo è Mio,Aladdin,il_mondo_e_mio.mp3
Lo Stretto Indispensabile,Il Libro della Giungla,lo_stretto_indispensabile.mp3
Non si Nomina Bruno,Encanto,non_si_nomina_bruno.mp3
Il Mio Sogno si Realizzerà,La Principessa e il Ranocchio,il_mio_sogno_si_realizzera.mp3
Gli Amici nell’Aldilà,La Principessa e il Ranocchio,gli_amici_nell_aldila.mp3
È un Briccone,Lilli e il Vagabondo,e_un_briccone.mp3
Bella Notte,Lilli e il Vagabondo,bella_notte.mp3
Urca Urca Tirulero,Robin Hood,urca_urca_tirulero.mp3
Ci Sono Anch'io,Il Pianeta del Tesoro,ci_sono_anch_io.mp3
Il Mio Cammino,Koda Fratello Orso,il_mio_cammino.mp3
Hai un Amico in Me,Toy Story,hai_un_amico_in_me.mp3
Oltre l'Orizzonte,Oceania,oltre_l_orizzonte.mp3
Tranquilla!,Oceania,tranquilla.mp3
